Tipo elemento,Logica,ID Classe,Classe,ID attributo,Tipologia,Nome attributo,Tipo attributo,Accessibilita,Visibilita,Argomenti,Valore,Riferimenti
classe,Stazione.LdS,1,MainClass_C1,1,stato FSM,stato,Enumerator:Stateenumerator,protetto,si,,,{36}
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p1,BasicType:Integer,pubblico,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p10,BasicType:Boolean,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p9,BasicType:Integer,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,20,variabile,mainclass_c1_previousva_pv1,BasicType:Integer,pubblico,si,,,{21}
classe,Stazione.LdS,1,MainClass_C1,22,variabile,mainclass_c1_previousva_pv2,Enumerator:Enumerator_1,privato,si,,,{23}
classe,Stazione.LdS,1,MainClass_C1,24,variabile,mainclass_c1_previousva_pv3,Enumerator:Enumerator_3,protetto,si,,,{25}
classe,Stazione.LdS,1,MainClass_C1,26,variabile,mainclass_c1_previousva_pv4,Enumerator:Enumerator_2,protetto,si,,,{27}
classe,Stazione.LdS,1,MainClass_C1,28,variabile,mainclass_c1_previousva_pv5,BasicType:Integer,pubblico,si,,,{29}
classe,Stazione.LdS,1,MainClass_C1,30,variabile,mainclass_c1_restoreva_rv1,BasicType:Boolean,pubblico,si,,,{31}
classe,Stazione.LdS,1,MainClass_C1,32,variabile,mainclass_c1_variabile_v3,BasicType:Boolean,pubblico,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,33,variabile,mainclass_c1_variabile_v4,Enumerator:Enumerator_3,privato,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,34,variabile,mainclass_c1_variabile_v5,BasicType:Integer,protetto,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,35,variabile,mainclass_c1_variabile_v6,BasicType:Boolean,pubblico,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,21,variabile precedente,mainclass_c1_previousva_pv1_prev,BasicType:Integer,protetto,si,,,{20}
classe,Stazione.LdS,1,MainClass_C1,23,variabile precedente,mainclass_c1_previousva_pv2_prev,Enumerator:Enumerator_1,privato,si,,,{22}
classe,Stazione.LdS,1,MainClass_C1,25,variabile precedente,mainclass_c1_previousva_pv3_prev,Enumerator:Enumerator_3,protetto,si,,,{24}
classe,Stazione.LdS,1,MainClass_C1,27,variabile precedente,mainclass_c1_previousva_pv4_prev,Enumerator:Enumerator_2,protetto,si,,,{26}
classe,Stazione.LdS,1,MainClass_C1,29,variabile precedente,mainclass_c1_previousva_pv5_prev,BasicType:Integer,protetto,si,,,{28}
classe,Stazione.LdS,1,MainClass_C1,11,variabile precedente,mainclass_c1_previousco_c2_prev,BasicType:Boolean,privato,si,,,{10}
classe,Stazione.LdS,1,MainClass_C1,13,variabile precedente,mainclass_c1_previousco_c3_prev,BasicType:Boolean,protetto,si,,,{12}
classe,Stazione.LdS,1,MainClass_C1,15,variabile precedente,mainclass_c1_previousco_c5_prev,BasicType:Boolean,privato,si,,,{14}
classe,Stazione.LdS,1,MainClass_C1,17,variabile precedente,mainclass_c1_previousco_c6_prev,Enumerator:Enumerator_3,protetto,si,,,{16}
classe,Stazione.LdS,1,MainClass_C1,19,variabile precedente,mainclass_c1_previousco_c9_prev,BasicType:Boolean,privato,si,,,{18}
classe,Stazione.LdS,1,MainClass_C1,31,variabile ripristino,mainclass_c1_restoreva_rv1_restore,BasicType:Boolean,protetto,si,,,{30}
classe,Stazione.LdS,1,MainClass_C1,36,variabile ripristino,stato_restore,Enumerator:Stateenumerator,protetto,si,,,{1}
classe,Stazione.LdS,1,MainClass_C1,3,comando output,mainclass_c1_comando_c1,BasicType:Boolean,privato,si,,true,
classe,Stazione.LdS,1,MainClass_C1,4,comando output,mainclass_c1_comando_c10,Enumerator:Enumerator_1,privato,si,,c180x,
classe,Stazione.LdS,1,MainClass_C1,2,controllo input,consdef,BasicType:Boolean,pubblico,si,,true,{}
classe,Stazione.LdS,1,MainClass_C1,5,controllo input,mainclass_c1_controllo_c1,Enumerator:Enumerator_3,pubblico,si,,rossogiallo,{}
classe,Stazione.LdS,1,MainClass_C1,6,controllo input,mainclass_c1_controllo_c10,BasicType:Boolean,privato,si,,false,{}
classe,Stazione.LdS,1,MainClass_C1,7,controllo input,mainclass_c1_controllo_c4,Enumerator:Enumerator_1,privato,si,,c180x,{}
classe,Stazione.LdS,1,MainClass_C1,8,controllo input,mainclass_c1_controllo_c7,BasicType:Boolean,privato,si,,true,{}
classe,Stazione.LdS,1,MainClass_C1,9,controllo input,mainclass_c1_controllo_c8,Enumerator:Enumerator_1,privato,si,,c180x,{}
classe,Stazione.LdS,1,MainClass_C1,10,controllo input,mainclass_c1_previousco_c2,BasicType:Boolean,privato,si,,true,{11}
classe,Stazione.LdS,1,MainClass_C1,12,controllo input,mainclass_c1_previousco_c3,BasicType:Boolean,pubblico,si,,false,{13}
classe,Stazione.LdS,1,MainClass_C1,14,controllo input,mainclass_c1_previousco_c5,BasicType:Boolean,privato,si,,true,{15}
classe,Stazione.LdS,1,MainClass_C1,16,controllo input,mainclass_c1_previousco_c6,Enumerator:Enumerator_3,pubblico,si,,rossogiallo,{17}
classe,Stazione.LdS,1,MainClass_C1,18,controllo input,mainclass_c1_previousco_c9,BasicType:Boolean,privato,si,,true,{19}
classe,Stazione.LdS,1,MainClass_C1,38,timer,mainclass_c1_restoreti_ti1,Timer:TimerState,pubblico,si,,431000,{37}
classe,Stazione.LdS,1,MainClass_C1,40,timer,mainclass_c1_restoreti_ti2,Timer:TimerState,protetto,si,,4000,{39}
classe,Stazione.LdS,1,MainClass_C1,42,timer,mainclass_c1_restoreti_ti3,Timer:TimerState,privato,si,,420000,{41}
classe,Stazione.LdS,1,MainClass_C1,44,timer,mainclass_c1_restoreti_ti4,Timer:TimerState,pubblico,si,,4000,{43}
classe,Stazione.LdS,1,MainClass_C1,46,timer,mainclass_c1_restoreti_ti5,Timer:TimerState,protetto,si,,1000,{45}
classe,Stazione.LdS,1,MainClass_C1,47,timer,mainclass_c1_timer_t1,Timer:TimerState,protetto,si,,2054000,{}
classe,Stazione.LdS,1,MainClass_C1,48,timer,mainclass_c1_timer_t6,Timer:TimerState,pubblico,si,,42054000,{}
classe,Stazione.LdS,1,MainClass_C1,49,timer,mainclass_c1_timer_t7,Timer:TimerState,pubblico,si,,131000,{}
classe,Stazione.LdS,1,MainClass_C1,37,variabile ripristino,mainclass_c1_restoreti_ti1_restore,Timer:TimerState,protetto,si,,431000,{38}
classe,Stazione.LdS,1,MainClass_C1,39,variabile ripristino,mainclass_c1_restoreti_ti2_restore,Timer:TimerState,protetto,si,,4000,{40}
classe,Stazione.LdS,1,MainClass_C1,41,variabile ripristino,mainclass_c1_restoreti_ti3_restore,Timer:TimerState,privato,si,,420000,{42}
classe,Stazione.LdS,1,MainClass_C1,43,variabile ripristino,mainclass_c1_restoreti_ti4_restore,Timer:TimerState,protetto,si,,4000,{44}
classe,Stazione.LdS,1,MainClass_C1,45,variabile ripristino,mainclass_c1_restoreti_ti5_restore,Timer:TimerState,protetto,si,,1000,{46}
classe,Stazione.LdS,1,MainClass_C1,50,contatore,mainclass_c1_contatore_co1,Counter,pubblico,si,,0,
classe,Stazione.LdS,1,MainClass_C1,51,contatore,mainclass_c1_contatore_co10,Counter,protetto,si,,0,
classe,Stazione.LdS,1,MainClass_C1,52,contatore,mainclass_c1_contatore_co2,Counter,privato,si,,0,
classe,Stazione.LdS,1,MainClass_C1,,comando automatico,eventMainclass_c1_command_comm5,,pubblico,no,{},,
classe,Stazione.LdS,1,MainClass_C1,,macro verifica,macroMainclass_c1_macrove_m10,BasicType:Boolean,privato,no,{argomento_ave1=BasicType:Boolean;argomento_ave10=Enumerator:Enumerator_4;argomento_ave3=Enumerator:Enumerator_3;argomento_ave6=BasicType:Boolean;argomento_ave7=BasicType:Boolean;argomento_ave9=BasicType:Boolean},,
classe,Stazione.LdS,1,MainClass_C1,,macro verifica,macroMainclass_c1_macrove_m2,BasicType:Boolean,pubblico,no,{argomento_ave1=Enumerator:Enumerator_1;argomento_ave2=BasicType:Boolean;argomento_ave3=Enumerator:Enumerator_4;argomento_ave4=Enumerator:Enumerator_3;argomento_ave6=Enumerator:Enumerator_3;argomento_ave7=BasicType:Boolean;argomento_ave9=Enumerator:Enumerator_1},,
classe,Stazione.LdS,1,MainClass_C1,,macro verifica,macroMainclass_c1_macrove_m4,BasicType:Boolean,privato,no,{argomento_ave1=BasicType:Boolean;argomento_ave10=Enumerator:Enumerator_3;argomento_ave6=BasicType:Boolean},,
classe,Stazione.LdS,1,MainClass_C1,,macro verifica,macroMainclass_c1_macrove_m5,BasicType:Boolean,privato,no,{argomento_ave1=Enumerator:Enumerator_1;argomento_ave3=Enumerator:Enumerator_2},,
classe,Stazione.LdS,1,MainClass_C1,,macro verifica,macroMainclass_c1_macrove_m9,BasicType:Boolean,privato,no,{argomento_ave10=Enumerator:Enumerator_4;argomento_ave5=BasicType:Boolean;argomento_ave6=BasicType:Boolean;argomento_ave8=Enumerator:Enumerator_1},,
classe,Stazione.LdS,1,MainClass_C1,,macro effetto,macroMainclass_c1_macroef_m10,,privato,no,{},,
classe,Stazione.LdS,1,MainClass_C1,,macro effetto,macroMainclass_c1_macroef_m3,,privato,no,{},,
classe,Stazione.LdS,1,MainClass_C1,,macro effetto,macroMainclass_c1_macroef_m4,,privato,no,{},,
classe,Stazione.LdS,1,MainClass_C1,,macro effetto,macroMainclass_c1_macroef_m7,,privato,no,{argomento_af2=BasicType:Boolean;argomento_af7=Enumerator:Enumerator_3;argomento_af9=Enumerator:Enumerator_3},,
classe,Stazione.LdS,1,MainClass_C1,,macro effetto,macroMainclass_c1_macroef_m8,,privato,no,{},,
classe,Stazione.LdS,1,MainClass_C1,,macro valorizzata,macroMainclass_c1_macrova_m1,Enumerator:Enumerator_4,pubblico,no,{argomento_a1=Enumerator:Enumerator_2;argomento_a10=Enumerator:Enumerator_1;argomento_a3=Enumerator:Enumerator_3;argomento_a6=Enumerator:Enumerator_1;argomento_a7=BasicType:Boolean},,
classe,Stazione.LdS,1,MainClass_C1,,macro valorizzata,macroMainclass_c1_macrova_m7,BasicType:Boolean,privato,no,{argomento_a1=Enumerator:Enumerator_4;argomento_a10=Enumerator:Enumerator_3;argomento_a3=Enumerator:Enumerator_3;argomento_a5=Enumerator:Enumerator_4;argomento_a6=Enumerator:Enumerator_2;argomento_a7=BasicType:Boolean},,
classe,Stazione.LdS,1,MainClass_C1,,macro valorizzata,macroMainclass_c1_macrova_m8,BasicType:Boolean,privato,no,{argomento_a10=Enumerator:Enumerator_1;argomento_a2=Enumerator:Enumerator_2;argomento_a4=Enumerator:Enumerator_2;argomento_a5=Enumerator:Enumerator_1;argomento_a6=BasicType:Boolean;argomento_a8=Enumerator:Enumerator_2;argomento_a9=Enumerator:Enumerator_4},,
