Tipo elemento,Logica,ID Classe,Classe,ID attributo,Tipologia,Nome attributo,Tipo attributo,Accessibilita,Visibilita,Argomenti,Valore,Riferimenti
classe,Stazione.LdS,1,MainClass_C1,1,stato FSM,stato,Enumerator:Stateenumerator,protetto,si,,,{39}
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p1,BasicType:Integer,pubblico,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p10,BasicType:Integer,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p3,BasicType:Boolean,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p6,Enumerator:Enumerator_2,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p8,Enumerator:Enumerator_4,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,17,variabile,mainclass_c1_previousva_pv1,Enumerator:Enumerator_4,pubblico,si,,,{18}
classe,Stazione.LdS,1,MainClass_C1,19,variabile,mainclass_c1_previousva_pv2,BasicType:Integer,protetto,si,,,{20}
classe,Stazione.LdS,1,MainClass_C1,21,variabile,mainclass_c1_previousva_pv3,Enumerator:Enumerator_2,privato,si,,,{22}
classe,Stazione.LdS,1,MainClass_C1,23,variabile,mainclass_c1_previousva_pv4,Enumerator:Enumerator_3,pubblico,si,,,{24}
classe,Stazione.LdS,1,MainClass_C1,25,variabile,mainclass_c1_restoreva_rv1,BasicType:Integer,privato,si,,,{26}
classe,Stazione.LdS,1,MainClass_C1,27,variabile,mainclass_c1_restoreva_rv2,BasicType:Boolean,pubblico,si,,,{28}
classe,Stazione.LdS,1,MainClass_C1,29,variabile,mainclass_c1_restoreva_rv3,BasicType:Boolean,pubblico,si,,,{30}
classe,Stazione.LdS,1,MainClass_C1,31,variabile,mainclass_c1_restoreva_rv4,BasicType:Boolean,privato,si,,,{32}
classe,Stazione.LdS,1,MainClass_C1,33,variabile,mainclass_c1_restoreva_rv5,BasicType:Boolean,privato,si,,,{34}
classe,Stazione.LdS,1,MainClass_C1,35,variabile,mainclass_c1_variabile_v2,BasicType:Integer,privato,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,36,variabile,mainclass_c1_variabile_v3,BasicType:Boolean,pubblico,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,37,variabile,mainclass_c1_variabile_v4,BasicType:Boolean,privato,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,38,variabile,mainclass_c1_variabile_v8,BasicType:Integer,protetto,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,18,variabile precedente,mainclass_c1_previousva_pv1_prev,Enumerator:Enumerator_4,protetto,si,,,{17}
classe,Stazione.LdS,1,MainClass_C1,20,variabile precedente,mainclass_c1_previousva_pv2_prev,BasicType:Integer,protetto,si,,,{19}
classe,Stazione.LdS,1,MainClass_C1,22,variabile precedente,mainclass_c1_previousva_pv3_prev,Enumerator:Enumerator_2,privato,si,,,{21}
classe,Stazione.LdS,1,MainClass_C1,24,variabile precedente,mainclass_c1_previousva_pv4_prev,Enumerator:Enumerator_3,protetto,si,,,{23}
classe,Stazione.LdS,1,MainClass_C1,12,variabile precedente,mainclass_c1_previousco_c10_prev,Enumerator:Enumerator_4,privato,si,,,{11}
classe,Stazione.LdS,1,MainClass_C1,14,variabile precedente,mainclass_c1_previousco_c4_prev,BasicType:Boolean,protetto,si,,,{13}
classe,Stazione.LdS,1,MainClass_C1,16,variabile precedente,mainclass_c1_previousco_c5_prev,BasicType:Boolean,protetto,si,,,{15}
classe,Stazione.LdS,1,MainClass_C1,26,variabile ripristino,mainclass_c1_restoreva_rv1_restore,BasicType:Integer,privato,si,,,{25}
classe,Stazione.LdS,1,MainClass_C1,28,variabile ripristino,mainclass_c1_restoreva_rv2_restore,BasicType:Boolean,protetto,si,,,{27}
classe,Stazione.LdS,1,MainClass_C1,30,variabile ripristino,mainclass_c1_restoreva_rv3_restore,BasicType:Boolean,protetto,si,,,{29}
classe,Stazione.LdS,1,MainClass_C1,32,variabile ripristino,mainclass_c1_restoreva_rv4_restore,BasicType:Boolean,privato,si,,,{31}
classe,Stazione.LdS,1,MainClass_C1,34,variabile ripristino,mainclass_c1_restoreva_rv5_restore,BasicType:Boolean,privato,si,,,{33}
classe,Stazione.LdS,1,MainClass_C1,39,variabile ripristino,stato_restore,Enumerator:Stateenumerator,protetto,si,,,{1}
classe,Stazione.LdS,1,MainClass_C1,3,comando output,mainclass_c1_comando_c1,Enumerator:Enumerator_4,privato,si,,rossogialloverde,
classe,Stazione.LdS,1,MainClass_C1,4,comando output,mainclass_c1_comando_c2,BasicType:Boolean,privato,si,,true,
classe,Stazione.LdS,1,MainClass_C1,5,comando output,mainclass_c1_comando_c6,Enumerator:Enumerator_4,privato,si,,rossogialloverde,
classe,Stazione.LdS,1,MainClass_C1,6,comando output,mainclass_c1_comando_c8,Enumerator:Enumerator_2,privato,si,,ac,
classe,Stazione.LdS,1,MainClass_C1,2,controllo input,consdef,BasicType:Boolean,pubblico,si,,true,{}
classe,Stazione.LdS,1,MainClass_C1,7,controllo input,mainclass_c1_controllo_c3,BasicType:Boolean,privato,si,,true,{}
classe,Stazione.LdS,1,MainClass_C1,8,controllo input,mainclass_c1_controllo_c6,BasicType:Boolean,pubblico,si,,false,{}
classe,Stazione.LdS,1,MainClass_C1,9,controllo input,mainclass_c1_controllo_c7,Enumerator:Enumerator_1,pubblico,si,,c120x,{}
classe,Stazione.LdS,1,MainClass_C1,10,controllo input,mainclass_c1_controllo_c9,BasicType:Boolean,pubblico,si,,false,{}
classe,Stazione.LdS,1,MainClass_C1,11,controllo input,mainclass_c1_previousco_c10,Enumerator:Enumerator_4,privato,si,,rossogialloverde,{12}
classe,Stazione.LdS,1,MainClass_C1,13,controllo input,mainclass_c1_previousco_c4,BasicType:Boolean,pubblico,si,,false,{14}
classe,Stazione.LdS,1,MainClass_C1,15,controllo input,mainclass_c1_previousco_c5,BasicType:Boolean,pubblico,si,,false,{16}
classe,Stazione.LdS,1,MainClass_C1,41,timer,mainclass_c1_restoreti_ti1,Timer:TimerState,pubblico,si,,24000,{40}
classe,Stazione.LdS,1,MainClass_C1,43,timer,mainclass_c1_restoreti_ti2,Timer:TimerState,protetto,si,,32000,{42}
classe,Stazione.LdS,1,MainClass_C1,45,timer,mainclass_c1_restoreti_ti3,Timer:TimerState,protetto,si,,2130000,{44}
