Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{avviox=0;avvio=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{giallox=4;giallogiallo=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{rossoverde=8;rossogiallogiallo=9}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{avanzamento=12;c270xx=13}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{rossogiallo=16;c120=17}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{c270x=2;rosso=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{rossogialloaverdea=6;rossogiallox=7}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{gialloverde=10;ac=11}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{gialloxverdex=14;c180x=15}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{verde=18;c180=19}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
