Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{verde=0;giallox=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{c270x=4;avanzamento=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{rossogiallox=8;rossoverde=9}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{rossogialloxverdex=12;c270xx=13}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{rossogialloaverdea=15;avanzamentox=16}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{spento=2;gialloxverdex=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{rossogialloverde=6;giallogiallo=7}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{c270=10;c120x=11}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{c120=14;spento=2}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{rosso=17;gialloverde=18}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
