Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{gialloaverdea=0;rossogialloaverdea=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{rosso=4;giallogiallo=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{c75giallo=8;avanzamento=9}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{verde=12;c270=13}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{rossogialloverde=16;rossogiallo=17}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{gialloverde=2;avvio=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{c120=6;c270x=7}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{spento=10;c27011x=11}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{avviox=14;rossogiallogiallo=15}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{ac=18;c120x=19}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
