Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{avanzamento=0;c270xx=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{c270x=4;ac=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{rossogialloxverdex=7;c180=8}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{verde=11;gialloverde=12}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{rossoverde=15;c180x=16}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{spento=2;rossogiallo=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{c120x=6;rossogiallo=3}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{giallogiallo=9;avvio=10}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{giallox=13;c270=14}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{rossogiallogiallo=17;rossogialloverde=18}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;state5=1;StatoIniziale=2}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
